region,semana,paso,nom_comuna,comuna,fecha_inicio,fecha_termino,var_salidas,var_salidas_cota_inferior,var_salidas_cota_superior
8,67,1.0,MULCHÉN,8305,2021-04-17,2021-04-18,0.8456445219627844,0.8456445219627844,0.8456445219627844
8,69,1.0,MULCHÉN,8305,2021-05-01,2021-05-02,0.7854629256863995,0.7854629256863995,0.7854629256863995
8,70,1.0,MULCHÉN,8305,2021-05-08,2021-05-09,0.8455618130147158,0.8455618130147158,0.8455618130147158
8,71,1.0,MULCHÉN,8305,2021-05-15,2021-05-16,0.9330994931511138,0.9330994931511138,0.9330994931511138
8,72,1.0,MULCHÉN,8305,2021-05-22,2021-05-23,0.8458660337329162,0.7396890634095311,0.9520430040563014
8,73,1.0,MULCHÉN,8305,2021-05-29,2021-05-30,0.9404082168299951,0.9404082168299951,0.9404082168299951
8,74,1.0,MULCHÉN,8305,2021-06-05,2021-06-06,0.8585808790188876,0.8585808790188876,0.8585808790188876
8,75,1.0,MULCHÉN,8305,2021-06-12,2021-06-13,1.0039715273217678,0.9410458622631604,1.0668971923803752
8,76,2.0,MULCHÉN,8305,2021-06-19,2021-06-20,0.887617582827332,0.887617582827332,0.887617582827332
8,77,2.0,MULCHÉN,8305,2021-06-26,2021-06-27,0.8792137617873002,0.8792137617873002,0.8792137617873002
8,78,2.0,MULCHÉN,8305,2021-07-03,2021-07-04,0.8924099232689909,0.8924099232689909,0.8924099232689909
8,79,2.0,MULCHÉN,8305,2021-07-10,2021-07-11,0.8986637635458449,0.8986637635458449,0.8986637635458449
8,80,2.0,MULCHÉN,8305,2021-07-17,2021-07-18,0.9862371420246672,0.9862371420246672,0.9862371420246672
8,81,3.0,MULCHÉN,8305,2021-07-24,2021-07-25,0.9007660195044124,0.9007660195044124,0.9007660195044124
8,82,3.0,MULCHÉN,8305,2021-07-31,2021-08-01,0.9652162169219759,0.9652162169219759,0.9652162169219759
8,83,4.0,MULCHÉN,8305,2021-08-07,2021-08-08,0.9687360350605244,0.9687360350605244,0.9687360350605244
8,84,4.0,MULCHÉN,8305,2021-08-14,2021-08-15,0.9421891445339154,0.9421891445339154,0.9421891445339154
8,85,4.0,MULCHÉN,8305,2021-08-21,2021-08-22,0.9126383119485872,0.9126383119485872,0.9126383119485872
8,86,4.0,MULCHÉN,8305,2021-08-28,2021-08-29,0.9289596683538349,0.9289596683538349,0.9289596683538349
8,87,4.0,MULCHÉN,8305,2021-09-04,2021-09-05,0.9689481704153666,0.9689481704153666,0.9689481704153666
8,88,4.0,MULCHÉN,8305,2021-09-11,2021-09-12,0.8903271668195359,0.8903271668195359,0.8903271668195359
8,89,4.0,MULCHÉN,8305,2021-09-18,2021-09-19,0.8862173937363802,0.8862173937363802,0.8862173937363802
8,90,4.0,MULCHÉN,8305,2021-09-25,2021-09-26,0.9294320473458636,0.9294320473458636,0.9294320473458636
8,91,4.0,MULCHÉN,8305,2021-10-03,2021-10-03,0.9037354891350122,0.8666627156383402,0.9408082626316844
8,92,4.0,MULCHÉN,8305,2021-10-09,2021-10-10,0.9312305665494204,0.8951192220952932,0.9673419110035472
8,93,4.0,MULCHÉN,8305,2021-10-16,2021-10-17,1.0421382498237326,1.0421382498237326,1.0421382498237326
8,94,4.0,MULCHÉN,8305,2021-10-23,2021-10-24,1.0118369989817326,1.0118369989817326,1.0118369989817326
8,95,4.0,MULCHÉN,8305,2021-10-30,2021-10-31,1.124524966963062,1.0314583068289225,1.217591627097202
8,96,4.0,MULCHÉN,8305,2021-11-06,2021-11-07,0.9991557624681024,0.9991557624681024,0.9991557624681024
8,97,4.0,MULCHÉN,8305,2021-11-13,2021-11-14,0.935211720314848,0.935211720314848,0.935211720314848
8,98,3.0,MULCHÉN,8305,2021-11-20,2021-11-20,1.170879112830174,1.1422225566455435,1.1995356690148045
8,99,3.0,MULCHÉN,8305,2021-11-27,2021-11-28,1.0242039214242469,1.0242039214242469,1.0242039214242469
8,100,3.0,MULCHÉN,8305,2021-12-04,2021-12-05,0.9736851183078332,0.9736851183078332,0.9736851183078332
8,101,3.0,MULCHÉN,8305,2021-12-11,2021-12-12,0.9368954313123324,0.9368954313123324,0.9368954313123324
8,102,2.0,MULCHÉN,8305,2021-12-18,2021-12-19,0.9876909337783464,0.9876909337783464,0.9876909337783464
8,103,3.0,MULCHÉN,8305,2021-12-25,2021-12-26,0.8986538717431029,0.8986538717431029,0.8986538717431029
8,104,3.0,MULCHÉN,8305,2022-01-01,2022-01-02,0.8699066797589123,0.8699066797589123,0.8699066797589123
8,105,,MULCHÉN,8305,2022-01-08,2022-01-09,0.971132128005082,0.971132128005082,0.971132128005082
8,106,3.0,MULCHÉN,8305,2022-01-15,2022-01-16,1.0690995568357682,1.0690995568357682,1.0690995568357682
8,107,3.0,MULCHÉN,8305,2022-01-22,2022-01-22,0.9559621546768616,0.9559621546768616,0.9559621546768616
8,108,3.0,MULCHÉN,8305,2022-01-29,2022-01-30,0.9803941751178236,0.9803941751178236,0.9803941751178236
8,109,3.0,MULCHÉN,8305,2022-02-05,2022-02-06,0.9929580593860512,0.9929580593860512,0.9929580593860512
8,110,3.0,MULCHÉN,8305,2022-02-12,2022-02-13,1.072119831842989,1.072119831842989,1.072119831842989
8,111,3.0,MULCHÉN,8305,2022-02-19,2022-02-20,0.9680139291236288,0.9680139291236288,0.9680139291236288
8,112,3.0,MULCHÉN,8305,2022-02-26,2022-02-27,0.9726165779205138,0.9726165779205138,0.9726165779205138
8,113,3.0,MULCHÉN,8305,2022-03-05,2022-03-06,0.9702602337048524,0.9702602337048524,0.9702602337048524
8,114,3.0,MULCHÉN,8305,2022-03-12,2022-03-13,0.9961200518968046,0.9961200518968046,0.9961200518968046
8,115,3.0,MULCHÉN,8305,2022-03-19,2022-03-20,1.0759778774658342,1.0759778774658342,1.0759778774658342
8,116,3.0,MULCHÉN,8305,2022-03-26,2022-03-27,0.9741770877859409,0.9741770877859409,0.9741770877859409
8,117,3.0,MULCHÉN,8305,2022-04-02,2022-04-03,0.8372030167789224,0.6627844541872595,1.0116215793705854
8,118,,MULCHÉN,8305,2022-04-09,2022-04-10,0.6502829299634625,0.4048748513622171,0.895691008564708
8,119,,MULCHÉN,8305,2022-04-16,2022-04-17,0.6278944746104345,0.37695865831900377,0.8788302909018652
8,120,,MULCHÉN,8305,2022-04-23,2022-04-24,0.6412807849020012,0.4963679227554584,0.7861936470485441
8,121,,MULCHÉN,8305,2022-04-30,2022-05-01,0.7756838321865441,0.6361289924427718,0.9152386719303162
8,122,,MULCHÉN,8305,2022-05-07,2022-05-08,0.7983540655090372,0.6910608561729658,0.9056472748451088
8,123,,MULCHÉN,8305,2022-05-14,2022-05-15,0.9070619840585612,0.808669075896955,1.0054548922201672
8,124,,MULCHÉN,8305,2022-05-21,2022-05-22,1.1223173590475914,1.0561326193896985,1.1885020987054846
8,125,,MULCHÉN,8305,2022-05-28,2022-05-29,0.9620832442208572,0.9347422057695316,0.9894242826721829
8,126,,MULCHÉN,8305,2022-06-04,2022-06-05,0.9730361146807298,0.9730361146807298,0.9730361146807298
8,127,,MULCHÉN,8305,2022-06-11,2022-06-12,1.04317379068026,1.04317379068026,1.04317379068026
8,128,,MULCHÉN,8305,2022-06-18,2022-06-19,1.0304795038847814,1.0304795038847814,1.0304795038847814
8,129,,MULCHÉN,8305,2022-06-25,2022-06-26,1.0221990117237865,1.0221990117237865,1.0221990117237865
8,130,,MULCHÉN,8305,2022-07-02,2022-07-03,0.9984359171146736,0.9984359171146736,0.9984359171146736
8,131,,MULCHÉN,8305,2022-07-09,2022-07-10,1.122315805289391,1.0719818128593934,1.1726497977193884
8,132,,MULCHÉN,8305,2022-07-16,2022-07-17,1.0380356786982732,1.0380356786982732,1.0380356786982732
8,8,,NACIMIENTO,8306,2020-03-01,2020-03-01,0.9831783453640598,0.9563439934458622,1.0100126972822574
8,9,0.0,NACIMIENTO,8306,2020-03-07,2020-03-08,1.002504776827034,1.002504776827034,1.002504776827034
8,10,0.0,NACIMIENTO,8306,2020-03-14,2020-03-15,0.9874825258907084,0.9874825258907084,0.9874825258907084
8,11,0.0,NACIMIENTO,8306,2020-03-21,2020-03-22,0.7334993018780963,0.731653424740439,0.7353451790157536
8,12,0.0,NACIMIENTO,8306,2020-03-28,2020-03-29,0.7537838272220168,0.7478006791694389,0.7597669752745946
8,13,0.0,NACIMIENTO,8306,2020-04-04,2020-04-05,0.7950498927283346,0.7848174982849765,0.8052822871716927
8,14,0.0,NACIMIENTO,8306,2020-04-11,2020-04-12,0.7073015334181529,0.6873246413551657,0.7272784254811401
8,15,0.0,NACIMIENTO,8306,2020-04-18,2020-04-19,0.8007768601167233,0.7963947750453915,0.8051589451880552
8,16,0.0,NACIMIENTO,8306,2020-04-25,2020-04-26,0.7711447807732217,0.7711447807732217,0.7711447807732217
8,17,0.0,NACIMIENTO,8306,2020-05-02,2020-05-03,0.7877510653798221,0.7779625317820992,0.7975395989775449
8,18,0.0,NACIMIENTO,8306,2020-05-09,2020-05-10,0.835854907149124,0.835854907149124,0.835854907149124
8,19,0.0,NACIMIENTO,8306,2020-05-16,2020-05-17,0.8295679155386323,0.8256426321243346,0.8334931989529302
8,20,0.0,NACIMIENTO,8306,2020-05-23,2020-05-24,0.8228204600096503,0.8102570406400991,0.8353838793792014
8,21,0.0,NACIMIENTO,8306,2020-05-30,2020-05-31,0.7737728126608358,0.7458203555130521,0.8017252698086194
8,22,0.0,NACIMIENTO,8306,2020-06-06,2020-06-07,0.8165521233728299,0.8165521233728299,0.8165521233728299
8,23,0.0,NACIMIENTO,8306,2020-06-13,2020-06-14,0.8608842284502715,0.8608842284502715,0.8608842284502715
8,24,0.0,NACIMIENTO,8306,2020-06-20,2020-06-21,0.7929573615042884,0.7929573615042884,0.7929573615042884
8,25,0.0,NACIMIENTO,8306,2020-06-27,2020-06-28,0.7933672528258241,0.7933672528258241,0.7933672528258241
8,26,0.0,NACIMIENTO,8306,2020-07-04,2020-07-05,0.8534662244562403,0.7992890942354952,0.9076433546769854
8,27,0.0,NACIMIENTO,8306,2020-07-11,2020-07-12,0.7085067978991788,0.5587559362789778,0.8582576595193798
8,28,0.0,NACIMIENTO,8306,2020-07-18,2020-07-19,0.8322143231530671,0.8322143231530671,0.8322143231530671
8,29,3.0,NACIMIENTO,8306,2020-07-25,2020-07-26,0.8698575057801942,0.8698575057801942,0.8698575057801942
8,30,3.0,NACIMIENTO,8306,2020-08-01,2020-08-02,0.8498267071203255,0.4036813607249976,1.2959720535156534
8,31,3.0,NACIMIENTO,8306,2020-08-08,2020-08-09,0.8980566087910842,0.8980566087910842,0.8980566087910842
8,32,3.0,NACIMIENTO,8306,2020-08-15,2020-08-16,0.9236051959357754,0.9236051959357754,0.9236051959357754
8,33,3.0,NACIMIENTO,8306,2020-08-22,2020-08-23,0.9203712911959449,0.9203712911959449,0.9203712911959449
8,34,3.0,NACIMIENTO,8306,2020-08-29,2020-08-30,0.9034508444099316,0.9034508444099316,0.9034508444099316
8,35,3.0,NACIMIENTO,8306,2020-09-05,2020-09-05,0.9381132369303372,0.9381132369303372,0.9381132369303372
8,37,3.0,NACIMIENTO,8306,2020-09-19,2020-09-20,0.926272411997026,0.926272411997026,0.926272411997026
8,38,3.0,NACIMIENTO,8306,2020-09-26,2020-09-27,0.8734067708090424,0.8734067708090424,0.8734067708090424
8,39,3.0,NACIMIENTO,8306,2020-10-03,2020-10-04,0.9071349964940798,0.9071349964940798,0.9071349964940798
