Region,Codigo region,Poblacion,fecha,numero
Los Lagos,10,891440,2020-05-08,849
Aysén,11,107297,2020-05-08,32
Magallanes,12,178362,2020-05-08,58
Arica y Parinacota,15,252110,2020-05-09,127
Tarapacá,01,382773,2020-05-09,184
Antofagasta,02,691854,2020-05-09,215
Atacama,03,314709,2020-05-09,111
Coquimbo,04,836096,2020-05-09,66
Valparaíso,05,1960170,2020-05-09,588
Metropolitana,13,8125072,2020-05-09,8345
O’Higgins,06,991063,2020-05-09,131
Maule,07,1131939,2020-05-09,238
Ñuble,16,511551,2020-05-09,156
Biobío,08,1663696,2020-05-09,847
Araucanía,09,1014343,2020-05-09,174
Los Ríos,14,405835,2020-05-09,135
Los Lagos,10,891440,2020-05-09,537
Aysén,11,107297,2020-05-09,35
Magallanes,12,178362,2020-05-09,54
Arica y Parinacota,15,252110,2020-05-10,74
Tarapacá,01,382773,2020-05-10,185
Antofagasta,02,691854,2020-05-10,419
Atacama,03,314709,2020-05-10,101
Coquimbo,04,836096,2020-05-10,370
Valparaíso,05,1960170,2020-05-10,489
Metropolitana,13,8125072,2020-05-10,7691
O’Higgins,06,991063,2020-05-10,269
Maule,07,1131939,2020-05-10,446
Ñuble,16,511551,2020-05-10,196
Biobío,08,1663696,2020-05-10,715
Araucanía,09,1014343,2020-05-10,372
Los Ríos,14,405835,2020-05-10,147
Los Lagos,10,891440,2020-05-10,1146
Aysén,11,107297,2020-05-10,102
Magallanes,12,178362,2020-05-10,58
Arica y Parinacota,15,252110,2020-05-11,70
Tarapacá,01,382773,2020-05-11,275
Antofagasta,02,691854,2020-05-11,245
Atacama,03,314709,2020-05-11,133
Coquimbo,04,836096,2020-05-11,95
Valparaíso,05,1960170,2020-05-11,552
Metropolitana,13,8125072,2020-05-11,8498
O’Higgins,06,991063,2020-05-11,183
Maule,07,1131939,2020-05-11,333
Ñuble,16,511551,2020-05-11,142
Biobío,08,1663696,2020-05-11,386
Araucanía,09,1014343,2020-05-11,576
Los Ríos,14,405835,2020-05-11,64
Los Lagos,10,891440,2020-05-11,1670
Aysén,11,107297,2020-05-11,93
Magallanes,12,178362,2020-05-11,58
Arica y Parinacota,15,252110,2020-05-12,83
Tarapacá,01,382773,2020-05-12,0
Antofagasta,02,691854,2020-05-12,285
Atacama,03,314709,2020-05-12,86
Coquimbo,04,836096,2020-05-12,48
Valparaíso,05,1960170,2020-05-12,518
Metropolitana,13,8125072,2020-05-12,6424
O’Higgins,06,991063,2020-05-12,0
Maule,07,1131939,2020-05-12,245
Ñuble,16,511551,2020-05-12,180
Biobío,08,1663696,2020-05-12,522
Araucanía,09,1014343,2020-05-12,90
Los Ríos,14,405835,2020-05-12,105
Los Lagos,10,891440,2020-05-12,644
Aysén,11,107297,2020-05-12,0
Magallanes,12,178362,2020-05-12,53
Arica y Parinacota,15,252110,2020-05-13,90
Tarapacá,01,382773,2020-05-13,6
Antofagasta,02,691854,2020-05-13,94
Atacama,03,314709,2020-05-13,0
Coquimbo,04,836096,2020-05-13,0
Valparaíso,05,1960170,2020-05-13,298
Metropolitana,13,8125072,2020-05-13,7173
O’Higgins,06,991063,2020-05-13,164
Maule,07,1131939,2020-05-13,329
Ñuble,16,511551,2020-05-13,0
Biobío,08,1663696,2020-05-13,1342
Araucanía,09,1014343,2020-05-13,437
Los Ríos,14,405835,2020-05-13,108
Los Lagos,10,891440,2020-05-13,194
Aysén,11,107297,2020-05-13,20
Magallanes,12,178362,2020-05-13,155
Arica y Parinacota,15,252110,2020-05-14,140
Tarapacá,01,382773,2020-05-14,274
Antofagasta,02,691854,2020-05-14,283
Atacama,03,314709,2020-05-14,4
Coquimbo,04,836096,2020-05-14,80
Valparaíso,05,1960170,2020-05-14,301
Metropolitana,13,8125072,2020-05-14,7563
O’Higgins,06,991063,2020-05-14,204
Maule,07,1131939,2020-05-14,234
Ñuble,16,511551,2020-05-14,226
Biobío,08,1663696,2020-05-14,433
Araucanía,09,1014343,2020-05-14,480
Los Ríos,14,405835,2020-05-14,107
Los Lagos,10,891440,2020-05-14,933
Aysén,11,107297,2020-05-14,110
Magallanes,12,178362,2020-05-14,130
Arica y Parinacota,15,252110,2020-05-15,107
Tarapacá,01,382773,2020-05-15,346
Antofagasta,02,691854,2020-05-15,416
Atacama,03,314709,2020-05-15,197
Coquimbo,04,836096,2020-05-15,253
Valparaíso,05,1960170,2020-05-15,1097
Metropolitana,13,8125072,2020-05-15,9948
O’Higgins,06,991063,2020-05-15,148
Maule,07,1131939,2020-05-15,241
Ñuble,16,511551,2020-05-15,183
Biobío,08,1663696,2020-05-15,1530
Araucanía,09,1014343,2020-05-15,452
Los Ríos,14,405835,2020-05-15,218
Los Lagos,10,891440,2020-05-15,921
Aysén,11,107297,2020-05-15,38
Magallanes,12,178362,2020-05-15,0
Arica y Parinacota,15,252110,2020-05-16,0
Tarapacá,01,382773,2020-05-16,268
Antofagasta,02,691854,2020-05-16,5
Atacama,03,314709,2020-05-16,311
Coquimbo,04,836096,2020-05-16,92
Valparaíso,05,1960170,2020-05-16,213
Metropolitana,13,8125072,2020-05-16,6555
O’Higgins,06,991063,2020-05-16,0
Maule,07,1131939,2020-05-16,0
Ñuble,16,511551,2020-05-16,0
Biobío,08,1663696,2020-05-16,70
Araucanía,09,1014343,2020-05-16,417
Los Ríos,14,405835,2020-05-16,81
Los Lagos,10,891440,2020-05-16,718
Aysén,11,107297,2020-05-16,32
Magallanes,12,178362,2020-05-16,51
Arica y Parinacota,15,252110,2020-05-17,106
Tarapacá,01,382773,2020-05-17,374
Antofagasta,02,691854,2020-05-17,299
Atacama,03,314709,2020-05-17,66
Coquimbo,04,836096,2020-05-17,180
Valparaíso,05,1960170,2020-05-17,839
Metropolitana,13,8125072,2020-05-17,7371
O’Higgins,06,991063,2020-05-17,168
Maule,07,1131939,2020-05-17,371
Ñuble,16,511551,2020-05-17,345
Biobío,08,1663696,2020-05-17,1544
Araucanía,09,1014343,2020-05-17,410
Los Ríos,14,405835,2020-05-17,29
Los Lagos,10,891440,2020-05-17,675
Aysén,11,107297,2020-05-17,66
Magallanes,12,178362,2020-05-17,328
Arica y Parinacota,15,252110,2020-05-18,135
Tarapacá,01,382773,2020-05-18,284
Antofagasta,02,691854,2020-05-18,345
Atacama,03,314709,2020-05-18,143
Coquimbo,04,836096,2020-05-18,205
Valparaíso,05,1960170,2020-05-18,545
Metropolitana,13,8125072,2020-05-18,11992
O’Higgins,06,991063,2020-05-18,349
Maule,07,1131939,2020-05-18,270
Ñuble,16,511551,2020-05-18,834
Biobío,08,1663696,2020-05-18,1009
Araucanía,09,1014343,2020-05-18,211
Los Ríos,14,405835,2020-05-18,77
Los Lagos,10,891440,2020-05-18,779
Aysén,11,107297,2020-05-18,14
Magallanes,12,178362,2020-05-18,323
Arica y Parinacota,15,252110,2020-05-19,78
Tarapacá,01,382773,2020-05-19,269
Antofagasta,02,691854,2020-05-19,290
Atacama,03,314709,2020-05-19,98
Coquimbo,04,836096,2020-05-19,308
Valparaíso,05,1960170,2020-05-19,529
Metropolitana,13,8125072,2020-05-19,10754
O’Higgins,06,991063,2020-05-19,143
Maule,07,1131939,2020-05-19,892
Ñuble,16,511551,2020-05-19,0
Biobío,08,1663696,2020-05-19,1119
Araucanía,09,1014343,2020-05-19,642
Los Ríos,14,405835,2020-05-19,264
Los Lagos,10,891440,2020-05-19,705
Aysén,11,107297,2020-05-19,0
Magallanes,12,178362,2020-05-19,98
Arica y Parinacota,15,252110,2020-05-20,93
Tarapacá,01,382773,2020-05-20,121
Antofagasta,02,691854,2020-05-20,386
Atacama,03,314709,2020-05-20,86
Coquimbo,04,836096,2020-05-20,128
Valparaíso,05,1960170,2020-05-20,616
Metropolitana,13,8125072,2020-05-20,7285
O’Higgins,06,991063,2020-05-20,143
Maule,07,1131939,2020-05-20,477
Ñuble,16,511551,2020-05-20,657
Biobío,08,1663696,2020-05-20,1043
Araucanía,09,1014343,2020-05-20,406
Los Ríos,14,405835,2020-05-20,50
