Ventiladores,fecha,numero
disponibles,2020-12-09,294
ocupados,2020-12-09,1843
total,2020-12-10,2135
disponibles,2020-12-10,287
ocupados,2020-12-10,1848
total,2020-12-11,2118
disponibles,2020-12-11,290
ocupados,2020-12-11,1828
total,2020-12-12,2108
disponibles,2020-12-12,286
ocupados,2020-12-12,1822
total,2020-12-13,2144
disponibles,2020-12-13,320
ocupados,2020-12-13,1824
total,2020-12-14,2144
disponibles,2020-12-14,308
ocupados,2020-12-14,1836
total,2020-12-15,2144
disponibles,2020-12-15,313
ocupados,2020-12-15,1831
total,2020-12-16,2138
disponibles,2020-12-16,305
ocupados,2020-12-16,1833
total,2020-12-17,2142
disponibles,2020-12-17,290
ocupados,2020-12-17,1852
total,2020-12-18,2149
disponibles,2020-12-18,301
ocupados,2020-12-18,1848
total,2020-12-19,2143
disponibles,2020-12-19,315
ocupados,2020-12-19,1828
total,2020-12-20,2143
disponibles,2020-12-20,321
ocupados,2020-12-20,1822
total,2020-12-21,2147
disponibles,2020-12-21,325
ocupados,2020-12-21,1822
total,2020-12-22,2137
disponibles,2020-12-22,283
ocupados,2020-12-22,1854
total,2020-12-23,2136
disponibles,2020-12-23,279
ocupados,2020-12-23,1857
total,2020-12-24,2142
disponibles,2020-12-24,272
ocupados,2020-12-24,1870
total,2020-12-25,2150
disponibles,2020-12-25,258
ocupados,2020-12-25,1892
total,2020-12-26,2151
disponibles,2020-12-26,275
ocupados,2020-12-26,1876
total,2020-12-27,2149
disponibles,2020-12-27,290
ocupados,2020-12-27,1859
total,2020-12-28,2163
disponibles,2020-12-28,273
ocupados,2020-12-28,1890
total,2020-12-29,2157
disponibles,2020-12-29,273
ocupados,2020-12-29,1884
total,2020-12-30,2166
disponibles,2020-12-30,252
ocupados,2020-12-30,1914
total,2020-12-31,2162
disponibles,2020-12-31,272
ocupados,2020-12-31,1890
total,2021-01-01,2168
disponibles,2021-01-01,301
ocupados,2021-01-01,1867
total,2021-01-02,2169
disponibles,2021-01-02,314
ocupados,2021-01-02,1855
total,2021-01-03,2176
disponibles,2021-01-03,307
ocupados,2021-01-03,1869
total,2021-01-04,2176
disponibles,2021-01-04,280
ocupados,2021-01-04,1896
total,2021-01-05,2181
disponibles,2021-01-05,283
